index,Trend Start Time,1M Vol Open,1Y Vol Open,DXY Open,Daily Trend #,Previous Day DXY Trend,Previous Day RR,Previous Day RR MAVG,Previous Day SPY Trend,Trend Start,Trend Type,USDMXNV1M Tick,USDMXNV1Y Tick,SPX Tick,DXY Tick,V1M Change,V1Y Change,DXY Change,SPX Change,Target,MXEF Tick,MXEF CCY Tick,BBDXY Tick,USDMXN RSI,USDMXN MACD,USDMXN ROC 4,USDMXN ROC 10,Day Start,MXEF Change,MXEF CCY Change,BBDXY Change,Abs Max Trend Sz,CCY,Max Trend Size,SPX Open,Trend End Time,Trend Extreme,Target New,Target Dif,RR Divergence
22,2019-05-21 06:12:00,9.638,11.115,97.915,2.0,0.63,1.1075,0.9293,1.01,19.1174,Down,9.728,11.15,2840.23,98.051,-0.08,-0.01,0.068,-0.0599999999999,0,994.57,1612.24,1207.98,24.76122007,-0.000568072,-0.036683978,-0.06129955,,-4.31,-1.48,0.76,0.0024637241465889905,USDMXN,-0.0024637241465889905,2854.02,2019-05-21 07:11:00,19.0703,0,0,0.17819999999999991
23,2019-05-21 09:17:00,9.638,11.115,97.915,3.0,0.63,1.1075,0.9293,1.01,19.0703,Up,9.247,11.035,2840.23,98.038,-0.561,-0.125,0.055,-0.0599999999999,0,994.67,1612.09,1208.38,76.19900703,0.001128583,0.081664704,0.068568438,,-4.21,-1.63,1.16,0.002669071802750988,USDMXN,0.002669071802750988,2854.02,2019-05-21 09:25:00,19.1212,0,0,0.17819999999999991
24,2019-05-21 09:57:00,9.638,11.115,97.915,4.0,0.63,1.1075,0.9293,1.01,19.1212,Down,9.245,11.033,2857.59,98.09299999999999,-0.563,-0.127,0.11,0.84,1,995.6,1612.23,1208.75,21.51790424,-0.00221338,-0.084337349,-0.106315007,,-3.28,-1.49,1.53,0.0059828881032572955,USDMXN,-0.0059828881032572955,2854.02,2019-05-21 12:19:00,19.0068,1,0,0.17819999999999991
25,2019-05-21 12:21:00,9.638,11.115,97.915,5.0,0.63,1.1075,0.9293,1.01,19.0068,Up,9.113,11.0,2863.62,98.045,-0.695,-0.16,0.062,6.87,0,998.3,1614.34,1208.24,68.3179775,0.002346598,0.061978045,0.108775046,,-0.58,0.62,1.02,0.0023360060609888627,USDMXN,0.0023360060609888627,2854.02,2019-05-21 12:32:00,19.0512,0,0,0.17819999999999991
26,2019-05-21 16:21:00,9.638,11.115,97.915,6.0,0.63,1.1075,0.9293,1.01,19.0512,Down,8.857999999999997,10.98,2864.36,98.036,-0.95,-0.18,0.053,7.61,0,998.97,1613.43,1207.85,32.43560388,-0.0005763,-0.005786611,-0.046274143,,0.09,-0.29,0.63,0.002572016460905509,USDMXN,-0.002572016460905509,2854.02,2019-05-21 17:00:00,19.0022,0,0,0.17819999999999991
27,2019-05-22 08:43:00,8.862,10.96,98.014,1.0,0.55,1.0375,0.971,1.06,19.0221,Down,8.823,10.885,2864.36,97.92200000000001,-0.172,-0.11,-0.096,7.61,1,1000.85,1616.23,1206.18,20.05205484,-0.001484112,-0.040030971,-0.058981826,,0.34,2.38,-1.5,0.004557856388095789,USDMXN,-0.004557856388095789,2856.06,2019-05-22 09:11:00,18.9354,1,0,0.06650000000000011
28,2019-05-22 09:51:00,8.862,10.96,98.014,2.0,0.55,1.0375,0.971,1.06,18.9354,Up,8.735,10.883,2855.46,98.069,-0.26,-0.112,0.051,1.6,0,999.25,1616.02,1207.6,66.53086481,0.001306747,0.045864547,0.057469143,,-1.26,2.17,-0.08000000000020001,0.0022391922008511626,USDMXN,0.0022391922008511626,2856.06,2019-05-22 09:56:00,18.9778,0,0,0.06650000000000011
29,2019-05-23 05:41:00,8.762,10.875,98.066,1.0,0.48,0.995,0.9945,0.19,19.0135,Up,8.76,10.92,2856.27,98.23700000000001,-0.06,0.025,0.104,2.41,0,987.44,1612.01,1209.66,73.28651906,0.000930621,0.038323228,0.078778203,,-6.65,-3.52,1.2,0.00284534672732523,USDMXN,0.00284534672732523,2836.7,2019-05-23 06:13:00,19.0676,0,0,0.0004999999999999449
30,2019-05-23 07:41:00,8.762,10.875,98.066,2.0,0.48,0.995,0.9945,0.19,19.0676,Down,8.75,10.905,2856.27,98.19200000000001,-0.07,0.01,0.059,2.41,1,988.08,1612.3,1209.04,29.07671615,-0.001035673,-0.020494926,-0.089275399,,-6.01,-3.23,0.58,0.003503325012062194,USDMXN,-0.003503325012062194,2836.7,2019-05-23 08:45:00,19.0008,1,0,0.0004999999999999449
31,2019-05-23 09:01:00,8.762,10.875,98.066,3.0,0.48,0.995,0.9945,0.19,19.0008,Up,8.77,10.93,2856.27,98.20299999999999,-0.05,0.035,0.07,2.41,1,986.94,1611.67,1209.24,72.41549982,0.0026483970000000003,0.110357875,0.13666947,,-7.15,-3.86,0.78,0.0029946107532313818,USDMXN,0.0029946107532313818,2836.7,2019-05-23 09:27:00,19.0577,1,1,0.0004999999999999449
